content,title
"
,
,
,
哈洽瑪又在亂煮東西了，這樣不行喔~
不過每次哈洽瑪都有自己吃掉啦

因為哈洽瑪自己給了個,MA的tag
找哈洽瑪的圖變得很方便呢
,
,
,
,
,

--
,
,
,
--
",[Holo] 哈洽瑪廚房
"

嗨多麼

一開始我一直以為炭治郎有繼國家的血統

一頭紅髮一雙紅眼

額頭有著跟緣壹一樣的疤痕

帶著緣壹的耳飾 還會用日之呼吸

結果到最後才發現 祖先居然只是緣壹的好麻吉

在這主角血統當道的世代 是不是挺意外的


--
,
這個睡臉，我會一輩子守護住
,
,
,
--
",[閒聊] 炭治郎沒血統是不是很意外？
"
餓死抬頭

草了這麼久 一個衛星落地

一個突然出現 而且還很病

不知道活動劇情表現如何

單就角色卡池

各位給幾分

--
",[閒聊] FGO這次表現幾分?
"
,

,
,
,

,
,
,

,
,
,

,
,
,

,
,
,
,
,

,
,
,

,
,
,

,
,
,

,
,
,

,
,
,

,
,
,
,
pocky跟 11/11 有什麼關係？
--
",[閒聊] pocky日
"

如果是前期了話，我會回答相同難度


過了友克鑫後就不一定了


你看黑道大小姐都會念能力了---只是沒有其他的手段


然後這位黑道大小姐在分類上還是「稀有」的特質系

想一想，特質系還真好用，不知道怎麼分就丟到特質系就好了


--
",Re: [討論] 在獵人的世界觀，拿到執照跟學會念哪個難
"
,
,
聲音好聽，配上鋼琴聽起來很安眠的88nia
開鋼琴歌回

--
",[Vtuber] 88nia 鋼琴歌回
"

防雷




















只是因為小時候當孩子王

媽媽說強者應該幫助弱者

因此樂觀向上鋤鬼扶弱

也沒跟鬼有多大仇恨

現實真的有可能有這種樂觀又幫助弱小的強者嗎？



0.0..


--
",[閒聊] 現實真的有可能有炎柱這種人嗎？
"
剛好有人幫忙烤肉了

,
,
其實鯊鯊自己本身也會走到一些白給的地方

如果不是在上帝視角的話誰也不知道她說的是不是真的

所以也不能怪其他的齁樓成員吧

鯊鯊自己也說她完的很開心

當天感覺心情不好應該只是做效果而已

成員間沒有不仲不要在挑撥了

A!

--
",[閒聊] Holo 鯊鯊among us連動感想
"
大多作品主角都是小人物，經歷過某些事後加入反抗勢力推翻反派的陰謀，中途還一定有聖
母婊同伴當雷隊友。但無論如何都是正義一方的主角最終獲勝可喜可賀

有沒有主角是反派一方(絕對邪惡那種，不是有苦衷才加入反派)，例如當個秘密警察打壓反
抗組織
舉個例子：二五機關
在第三者眼中主角就是一個反派，主角也是個冷酷無情的人

各位有推薦的作品嗎？

--
噓 C洽版友: ACG點在哪？

--
",[問題] 主角加入體制助紂為虐的作品
"

如題

佐助當初為了獲得力量報仇，毅然決然離開木葉跑去追隨大蛇丸

那我就很好奇了

如果今天有個超強忍術擺在他眼前，只要自宮就可以習得，獲得驚天地 泣鬼神的力量

那麼他會願意自宮嗎？
-----
Sent from JPTT on my iPhone

--
,我覺得佐助是攻，應該不想割
,寫輪眼開眼的設定更可笑吧
",[閒聊] 佐助為了報仇願意自宮嗎？
"

  實況網址
  ,

  監督名：ジャサイカギーン(甲賽卡緊)
  學校名：國相(KUSO)
  監督特色：金髮雙馬尾，失智型監督
  年分：2001 年/第 21 年 (春甲冠軍x13 夏甲冠軍x15)
  地區：南北海道


  雖然一年級的新生令人不安，
  但這屆三年級的打擊火力似乎可以寫下一些不錯的紀錄。

--

    「退屈だったから、広島対横浜戦見てきたわ、地味な一戦と思う」


                                                                ,
                                        　　　　　　,

--
",[實況] 腰子 實況野球2020/榮冠 第21年 夏天
"
,希望和主角在一起          ,
,
─────────────────────────────────────
, 艾魯西          , 小阪千尋  (普通 , 倉川燈   , 女神伏爾坎絲(附於月夜)
, 哈克雅          , 長瀨純(實習老師 , 白鳥麗   , 女神阿波羅  (附於加儂)
, 骷髏妹  (=班導) , 九條月夜  (天文 , 結崎香織 , 女神蒂雅娜  (附於天理)
, 鲇川天理(青梅?) , 生駒南    (游泳 , 桂木麻里 , 女神彌涅兒娃(附於栞)
, 高原步美(田徑)  , 日永梨枝子(生靈 , 寺田京   , 女神瑪爾絲  (附於結)
, 青山美生(前千金 , 上本堇    (拉麵 , 諾拉     , 女神茉丘莉  (附於步美)
, 中川加儂(偶像)  , 榛原七香  (將棋 , 琉妮     , 飛鳥空
, 汐宮栞  (圖書)  , 五位堂結  (男裝 , 柳玲子   , 杉本四葉
, 春日楠  (拳法家 , 春日檜    (姐姐
─────────────────────────────────────
,
,
,
[單一推文]:,
[重複推文]:計非複選中的最新推文
    ,非劇中角色/非女角/只放圖/只說XXX派好多好少站出來/看不出投票
        ,

--
",[推投] 只有神知道的世界 最喜歡女角 1票
"

當然是拿執照拿

雖然學會念是獵人考試的最後一關

但其實只是念的情報被封鎖控管，一般人不曉得而已

如果有資質，運氣好碰到老師肯教

就有可能像智喜還沒考過執照，但雲古願意教他念

反觀獵人試驗有很多非戰鬥力需求的關卡

就算是西索，原本也在美食關被刷下來

獵人測驗需要的是更全面的能力

因此當然是比學念難得多

況且學念是個範圍很大的話題

弱的可能就像貪婪之島的雜魚

強的也可以像是會長、蟻王這種等級

不過單看CP值，除非特別有天分

不然學念的效率其實很差

畢竟大部分念能力者，連子彈可能都擋不了

同時學習又很花時間，通常以年為單位才稍微有點進步

與其學念，不如乖乖多買幾把好用武器比較實在

--
,
                                                   ,
     ,
                                                   ,
            ,◢,
                   ,

--
,
擋子彈怎麼可能是基礎

絕茲絕拉當初都安排武裝士兵，要在巴特拉的房子伏擊甘舒

如果子彈對念能力者沒用，那就不會安排士兵了
",Re: [討論] 在獵人的世界觀，拿到執照跟學會念哪個難
"
昨天因為趕著出門結果心得打的很緊湊

後來睡覺時躺在床上就想到一堆我怎麼沒打上的東西 = =



先說霧切 真女主

如果只論腳色外型我甚至不會給她前三

但根據劇情上的表現真的很婆 婆到不行

外表冷漠但其實感情相當豐富 該坦率時很坦率

也時不時會露出可愛的一面

比起十神那個到後面都是出來被打臉的

真正的智力擔當、全作最重要的角色

看看少了霧切直接進BE就知道

雖然最後要賣苗木是讓我嚇到

都這個時間點了要換主角嗎....

說實在的看到霧切要被壓成肉餅我是真的會害怕

但看到苗木被壓就沒什麼感覺了XD


我上面說外型不會給前三....不是臉的問題

是她立繪正面

,
,
我一直覺得她髮型...上面那個 我不會講 弧線嗎?

讓整顆頭看起來怪怪的 有點詭異 = =



關於遊戲性

這遊戲的自由時間說真的有點少

而且有些人在某些章節還是無法觸發個人劇情的

自由時間少反過來就是說死人速度快

拿技能的速度跟不上吃便當的速度

我先劇透的情況下 我大概瞭解角色死亡順序

知道有些人是要早點去拿的


但如果不知道 是不是會有那種差一次升好感就能拿技能

結果馬上領便當的情況 感覺很尷尬....

不過 可能是因為我玩NORMAL的關係

感覺真正重要的技能也不多

就觀察眼和跑步 還有一個機關槍可以鎖定兩個的

其他感覺都還好?



昨天有說射言彈的部分

那應該不是翻譯問題 而是...當下給的言彈和文句有點....連結不上

應該說是邏輯有出入 而且後來還有個臨時言彈是要自己抓的

又更麻煩了= =

我一時也想不到有哪些段落會有這情況 總之就挺惱人的


機關槍舌戰很有趣 一開始容易MISS習慣後其實蠻好玩的


高潮再現的漫畫畫風很好看 但有些圖也是畫的看不懂是啥鬼



劇情不再多說 其實動畫劇情我到大神之後也忘了差不多了

反正最後結局看江之島滿臉笑容的吃體罰全餐很爽就對了


然後那個不保霧切 導致一群智障永遠出不去

只能關在裡面做菜的結局我真的有訝異到XDDD


通關後有個槍彈高中的模式 稍微玩了一下似乎就是

小遊戲+補完個人劇情這樣?

目前沒打算玩 應該會無限期擱置


就這樣，我最近對馬剛好也破關了

正好空出時間玩二代


然後昨天看STEAM跳的廣告才發現還有一個外傳絕望少女

總之也買了



--
,
,
,   ,
,                                                         ,

--
",Re: [閒聊] 槍彈辯駁 一代 心得 補充
"
今天要播什麼：夢幻模擬戰+刺客教條 維京紀元

點我連結：,

想跟觀眾說：

各位朋友大家好 我是索爾實況台

每個月緊張刺激的抽卡時間又到了

10點開抽

希望待會抽的時候別歪了

別再當非洲人了＠＠

歡迎大家來實況台幫忙集氣拉～～

抽完繼續完 刺客教條 維京紀元

--
",[實況] 夢幻模擬戰 10點拼抽新角
,
,
"
鷹村敢惹全盛時期的澤村龍平嗎

雖然量級有差距

但打架除了量級

更重要的是氣勢吧

澤村那種就是超級惡人的氣勢

擺明要把你壓倒在地上摩擦

鷹村敢去惹這種人嗎

--
",[閒聊] 鷹村敢惹全盛時期的澤村龍平嗎
,
